,embarco,genero,paxid,class,edad,ssr,patch,fabasis,cab
0,2,1,0,2,28,1,0,18,147
1,0,0,1,0,51,1,0,207,81
2,2,0,2,2,34,0,0,41,147
3,2,0,3,0,47,1,0,189,55
4,2,1,4,2,47,0,0,43,147
5,1,1,5,2,88,0,0,51,147
6,2,1,6,0,69,0,0,186,129
7,2,1,7,2,6,3,1,124,147
8,2,0,8,2,35,0,2,74,147
9,0,0,9,1,18,1,0,154,147
10,2,0,10,2,8,1,1,110,145
11,2,0,11,0,74,0,0,143,49
12,2,1,12,2,25,0,0,43,147
13,2,1,13,2,52,1,5,158,147
14,2,0,14,2,18,0,0,36,147
15,2,0,15,1,70,0,0,108,147
16,1,1,16,2,6,4,1,151,147
17,2,1,17,1,88,0,0,85,147
18,2,0,18,2,41,1,0,113,147
19,0,0,19,2,88,0,0,16,147
20,2,1,20,1,47,0,0,138,147
21,2,1,21,1,45,0,0,85,111
22,1,0,22,2,20,0,0,42,147
23,2,1,23,0,36,0,0,168,13
24,2,0,24,2,12,3,1,124,147
25,2,0,25,2,51,1,5,159,147
26,0,1,26,2,88,0,0,16,147
27,2,1,27,0,24,3,2,246,63
28,1,0,28,2,88,0,0,38,147
29,2,1,29,2,88,0,0,40,147
30,0,1,30,0,53,0,0,145,147
31,0,0,31,0,88,1,0,236,41
32,1,0,32,2,88,0,0,30,147
33,2,1,33,1,82,0,0,72,147
34,0,1,34,0,36,1,0,220,147
35,2,1,35,0,56,1,0,187,147
36,0,1,36,2,88,0,0,17,147
37,2,1,37,2,27,0,0,43,147
38,2,0,38,2,23,2,0,113,147
39,0,0,39,2,18,1,0,75,147
40,2,0,40,2,53,1,0,62,147
41,2,0,41,1,35,1,0,123,147
42,0,1,42,2,88,0,0,40,147
43,0,0,43,1,7,1,2,177,147
44,1,0,44,2,24,0,0,38,147
45,2,1,45,2,88,0,0,43,147
46,1,1,46,2,88,1,0,102,147
47,1,0,47,2,88,0,0,30,147
48,0,1,48,2,88,2,0,125,147
49,2,0,49,2,23,1,0,112,147
50,2,1,50,2,11,4,1,175,147
51,2,1,51,2,27,0,0,34,147
52,0,0,52,0,64,1,0,211,101
53,2,0,53,1,38,1,0,138,147
54,0,1,54,0,81,0,1,200,23
55,2,1,55,0,88,0,0,168,71
56,2,0,56,1,27,0,0,72,147
57,0,1,57,2,37,0,0,17,147
58,2,0,58,1,9,1,2,146,147
59,2,1,59,2,15,5,2,179,147
60,0,1,60,2,28,0,0,17,147
61,3,0,61,0,51,0,0,218,21
62,2,1,62,0,59,1,0,222,80
63,2,1,63,2,8,3,2,147,147
64,0,1,64,0,88,0,0,145,147
65,0,1,65,2,88,1,1,101,147
66,2,0,66,1,38,0,0,72,142
67,2,1,67,2,24,0,0,46,147
68,2,0,68,2,22,4,2,41,147
69,2,1,69,2,34,2,0,54,147
70,2,1,70,1,42,0,0,72,147
71,2,0,71,2,21,5,2,179,147
72,2,1,72,1,27,0,0,208,147
73,0,1,73,2,34,1,0,94,147
74,2,1,74,2,42,0,0,193,147
75,2,1,75,2,33,0,0,24,140
76,2,1,76,2,88,0,0,40,147
77,2,1,77,2,88,0,0,43,147
78,2,1,78,1,3,0,2,150,147
79,2,0,79,2,39,0,0,81,147
80,2,1,80,2,28,0,0,58,147
81,2,1,81,2,38,0,0,64,147
82,1,0,82,2,88,0,0,32,147
83,2,1,83,0,36,0,0,180,147
84,2,0,84,1,22,0,0,72,147
85,2,0,85,2,44,3,0,106,147
86,2,1,86,2,21,1,3,165,147
87,2,1,87,2,88,0,0,43,147
88,2,0,88,0,29,3,2,246,63
89,2,1,89,2,31,0,0,43,147
90,2,1,90,2,38,0,0,43,147
91,2,1,91,2,25,0,0,36,147
92,2,1,92,0,61,1,0,198,122
93,2,1,93,2,34,1,2,122,147
94,2,1,94,2,75,0,0,18,147
95,2,1,95,2,88,0,0,43,147
96,0,1,96,0,85,0,0,166,12
97,0,1,97,0,29,0,1,201,91
98,2,0,98,1,45,0,1,129,147
99,2,1,99,1,45,1,0,138,147
100,2,0,100,2,36,0,0,40,147
101,2,1,101,2,88,0,0,40,147
102,2,1,102,0,27,0,1,212,98
103,2,1,103,2,44,0,0,53,147
104,2,1,104,2,50,2,0,41,147
105,2,1,105,2,36,0,0,40,147
106,2,0,106,2,27,0,0,24,147
107,2,1,107,2,88,0,0,31,147
108,2,1,108,2,51,0,0,40,147
109,1,0,109,2,88,1,0,133,147
110,2,1,110,0,62,0,0,187,52
111,0,0,111,2,19,1,0,94,147
112,2,1,112,2,28,0,0,43,147
113,2,0,113,2,25,1,0,66,147
114,0,0,114,2,22,0,0,95,147
115,2,1,115,2,27,0,0,41,147
